value,replacement,year,replacement_new,complete,equivalent_var
qa1,,2008,reg_registeredVoters_total,1,
qa1_comments,,2008,reg_registeredVoters_total_c,1,
qa10_comments,,2008,reg_confirmationNotice_c,1,
qa10a,,2008,reg_confirmationNotice_total,1,
qa10b,,2008,reg_confirmationNotice_valid,1,
qa10c,,2008,reg_confirmationNotice_invalid,1,
qa10d,,2008,reg_confirmationNotice_undeliverable,1,
qa10e,,2008,reg_confirmationNotice_unknown,1,
qa10f,,2008,reg_confirmationNotice_other1,1,
qa10f_description,,2008,reg_confirmationNotice_other1_o,1,
qa10g,,2008,reg_confirmationNotice_other2,1,
qa10g_description,,2008,reg_confirmationNotice_other2_o,1,
qa10h,,2008,reg_confirmationNotice_other3,1,
qa10h_description,,2008,reg_confirmationNotice_other3_o,1,
qa11_comments,,2008,reg_voterRemovedReason_c,1,
qa11a,,2008,reg_voterRemovedReason_total,1,
qa11b,,2008,reg_voterRemovedReason_moved,1,
qa11c,,2008,reg_voterRemovedReason_death,1,
qa11d,,2008,reg_voterRemovedReason_felony,1,
qa11e,,2008,reg_voterRemovedReason_noResponse,1,
qa11f,,2008,reg_voterRemovedReason_mentalIncompetence,1,
qa11g,,2008,reg_voterRemovedReason_voterRequest,1,
qa11h,,2008,reg_voterRemovedReason_other1,1,
qa11h_description,,2008,reg_voterRemovedReason_other1_o,1,
qa11i,,2008,reg_voterRemovedReason_other2,1,
qa11i_description,,2008,reg_voterRemovedReason_other2_o,1,
qa11j,,2008,reg_voterRemovedReason_other3,1,
qa11j_description,,2008,reg_voterRemovedReason_other3_o,1,
qa11k,,2008,reg_voterRemovedReason_other4,1,
qa11k_description,,2008,reg_voterRemovedReason_other4_o,1,
qa2,,2008,reg_activeOnly,1,
qa2_comments,,2008,reg_activeOnly_c,1,
qa2_other,,2008,reg_activeOnly_o,1,
qa3_comments,,2008,reg_activeInactiveReg_c,1,
qa3a,,2008,reg_activeReg,1,
qa3b,,2008,reg_inactiveReg,1,
qa4_comments,,2008,reg_sameDayRegistrationAppStatus_c,1,
qa4a,,2008,reg_sameDayRegistration_total,1,
qa4a_notallowed,,2008,reg_notAllowSameDay,1,
qa4b,,2008,reg_sameDayRegistrationAppStatus_validReg,1,
qa4c,,2008,reg_sameDayRegistrationAppStatus_changedRegistration,1,
qa4d,,2008,reg_sameDayRegistrationAppStatus_duplicateRegistration,1,
