"Topic","Question","Question.Number","Question.Number.formatted","variable.rename"
"Total Registration","TOTAL number of registered and eligible voters","A1a","qa1a","reg_registeredVoters_total"
"Total Registration","TOTAL number of active voters","A1b","qa1b","reg_activeReg"
"Total Registration","TOTAL number of inactive voters","A1c","qa1c","reg_inactiveReg"
"Total Registration","Comments","A1Comments","qa1comments","reg_registeredVoters_total_c"
"Same Day Registrations","TOTAL new same day registrations","A2a","qa2a","reg_sameDayRegistration_total"
"Same Day Registrations","Same day registrations received on Election Day","A2b","qa2b","reg_sameDayRegistration_electionDay"
"Same Day Registrations","Same day registrations received before Election Day","A2c","qa2c","reg_sameDayRegistration_early"
"Same Day Registrations","Comments","A2Comments","qa2comments","reg_sameDayRegistrationAppStatus_c"
"Type of Registration Forms Received","TOTAL registration forms received","A3a","qa3a","reg_newRegistrationAppStatus"
"Type of Registration Forms Received","New valid registrations (excluding pre-registrations of persons under 18)","A3b","qa3b","reg_newRegistrationAppStatus_validReg"
"Type of Registration Forms Received","New “pre” registrations of persons under age 18","A3c","qa3c","reg_newRegistrationAppStatus_PreReg"
"Type of Registration Forms Received","Duplicates of existing valid registrations","A3d","qa3d","reg_newRegistrationAppStatus_duplicateRegistration"
"Type of Registration Forms Received","Invalid or rejected (other than duplicates)","A3e","qa3e","reg_newRegistrationAppStatus_rejected"
"Type of Registration Forms Received","Changes to name, party, or within-jurisdiction address 
change","A3f","qa3f","reg_newRegistrationAppStatus_changeRegWithinJurisdiction"
"Type of Registration Forms Received","Address changes that cross jurisdiction borders","A3g","qa3g","reg_newRegistrationAppStatus_changeRegMoved"
"Type of Registration Forms Received","Other - Description Text 1","A3h_Other","qa3h_other","reg_newRegistrationAppStatus_other1_o"
"Type of Registration Forms Received","Other - Count 1","A3h","qa3h","reg_newRegistrationAppStatus_other1"
"Type of Registration Forms Received","Other - Description Text 2","A3i_Other","qa3i_other","reg_newRegistrationAppStatus_other2_o"
"Type of Registration Forms Received","Other - Count 2","A3i","qa3i","reg_newRegistrationAppStatus_other2"
"Type of Registration Forms Received","Other - Description Text 3","A3j_Other","qa3j_other","reg_newRegistrationAppStatus_other3_o"
"Type of Registration Forms Received","Other - Count 3","A3j","qa3j","reg_newRegistrationAppStatus_other3"
"Type of Registration Forms Received","Comments","A3Comments","qa3comments","reg_newRegistrationAppStatus_c"
